,Employee_No,Employee_Code,Name,Title,Gender,Religion_ID,Marital_Status,Designation_ID,Date_Joined,Date_Resigned,Status,Inactive_Date,Reporting_emp_1,Reporting_emp_2,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth
643,1964,5307,Jamison Feest,Mr,Male,1,Married,6,7/16/2021,\N,Active,\N,1964,\N,Staff,Contarct Basis,Buddhist,Project Manager,1986
644,1965,1795043,Samantha Wolff,Mr,Male,1,Married,31,7/19/2021,2/8/2022,Inactive,2/8/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1974
645,1967,5309,Erling Upton,Mr,Male,1,Married,7,7/19/2021,7/21/2021,Inactive,7/21/2021,\N,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1969
646,1969,5311,Elmira Gleason,Ms,Male,1,Single,158,7/20/2021,12/21/2021,Inactive,12/21/2021,\N,\N,Staff,Contarct Basis,Buddhist,Assistant QS,1994
647,1970,1795044,Isac Marvin Jr,Mr,Male,1,Married,31,7/19/2021,4/8/2022,Inactive,4/8/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1958
648,1975,198121,Mariam Lindgren,Mr,Male,1,Married,31,7/1/2021,6/10/2022,Inactive,6/10/2022,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,1978
649,1976,5312,Mr Rodrick Bartell,Mr,Male,1,Single,49,7/26/2021,12/4/2021,Inactive,12/4/2021,545,\N,Staff,Contarct Basis,Buddhist,Junior Technical Officer,1996
650,1985,5315,Stephania Conn,Mr,Male,3,Single,36,7/28/2021,12/7/2021,Inactive,12/7/2021,\N,\N,Staff,Contarct Basis,Hindu,Engineer Assistant,1994
651,1987,1795049,Arlie Ruecker Sr,Mr,Male,1,Married,31,7/30/2021,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Buddhist,Unskilled Labor,0
652,1988,189065,Dr Nadia Tillman IV,Mr,Male,1,Married,43,7/29/2021,2/21/2022,Inactive,2/21/2022,\N,\N,Labour,Contarct Basis,Buddhist,Operator - JCB,1994
653,1993,1795050,Mrs Shaniya Swaniawski,Mr,Male,5,Married,124,8/2/2021,12/31/2021,Inactive,12/31/2021,\N,\N,Labour,Contarct Basis,Muslim,Mason,1980
654,1996,179040,Dianna Quigley,Ms,Female,1,Single,125,7/30/2021,5/9/2022,Inactive,5/9/2022,\N,\N,Labour,Contarct Basis,Buddhist,Data Colector,0
655,1998,179041,Alfredo Pfeffer,Ms,Female,1,Single,125,8/2/2021,4/22/2022,Inactive,4/22/2022,\N,\N,Labour,Contarct Basis,Buddhist,Data Colector,0
656,2000,5317,Mable Langworth,Mr,Male,1,Married,78,8/2/2021,12/9/2021,Inactive,12/9/2021,\N,\N,Staff,Contarct Basis,Buddhist,Assistant Accountant,1987
657,2001,5318,Marianne Hessel,Mr,Male,1,Single,33,8/2/2021,8/3/2021,Inactive,8/3/2021,\N,\N,Staff,Contarct Basis,Buddhist,Site Engineer,1993
658,2002,5319,Gerry Kshlerin,Mr,Male,1,Single,36,8/2/2021,1/21/2022,Inactive,1/21/2022,545,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1991
